STATUS | wrapper  | 2015/07/28 15:52:57 | --> Wrapper Started as Console
INFO   | jvm 1    | 2015/07/28 15:53:07 | 2015-07-28 15:53:07,720  INFO [WrapperSimpleAppMain] org.flywaydb.core.internal.command.DbValidate:43 - Validated 1 migration (execution time 00:00.010s)
INFO   | jvm 1    | 2015/07/28 15:53:07 | 2015-07-28 15:53:07,750  INFO [WrapperSimpleAppMain] org.flywaydb.core.internal.metadatatable.MetaDataTableImpl:43 - Creating Metadata table: "PUBLIC"."SCHEMA_VERSION_DATA_AUDIT"
INFO   | jvm 1    | 2015/07/28 15:53:07 | 2015-07-28 15:53:07,780  INFO [WrapperSimpleAppMain] org.flywaydb.core.internal.command.DbInit:43 - Schema initialized with version: 0
INFO   | jvm 1    | 2015/07/28 15:53:07 | 2015-07-28 15:53:07,800  INFO [WrapperSimpleAppMain] org.flywaydb.core.internal.command.DbMigrate:43 - Current version of schema "PUBLIC": 0
INFO   | jvm 1    | 2015/07/28 15:53:07 | 2015-07-28 15:53:07,800  INFO [WrapperSimpleAppMain] org.flywaydb.core.internal.command.DbMigrate:43 - Migrating schema "PUBLIC" to version 1.0.0
INFO   | jvm 1    | 2015/07/28 15:53:07 | 2015-07-28 15:53:07,850  INFO [WrapperSimpleAppMain] org.flywaydb.core.internal.command.DbMigrate:43 - Successfully applied 1 migration to schema "PUBLIC" (execution time 00:00.070s).
INFO   | jvm 1    | 2015/07/28 15:53:07 | 2015-07-28 15:53:07,860  INFO [WrapperSimpleAppMain] com.mossle.core.dbmigrate.DatabaseMigrator:64 - migrate : SCHEMA_VERSION_AUTH, dbmigrate.h2.auth
INFO   | jvm 1    | 2015/07/28 15:53:07 | 2015-07-28 15:53:07,860  INFO [WrapperSimpleAppMain] org.flywaydb.core.internal.dbsupport.DbSupportFactory:43 - Database: jdbc:hsqldb:hsql://localhost:9000/lemon (HSQL Database Engine 2.3)
INFO   | jvm 1    | 2015/07/28 15:53:07 | 2015-07-28 15:53:07,880  INFO [WrapperSimpleAppMain] org.flywaydb.core.internal.command.DbValidate:43 - Validated 10 migrations (execution time 00:00.020s)
INFO   | jvm 1    | 2015/07/28 15:53:07 | 2015-07-28 15:53:07,930  INFO [WrapperSimpleAppMain] org.flywaydb.core.internal.metadatatable.MetaDataTableImpl:43 - Creating Metadata table: "PUBLIC"."SCHEMA_VERSION_AUTH"
INFO   | jvm 1    | 2015/07/28 15:53:07 | 2015-07-28 15:53:07,950  INFO [WrapperSimpleAppMain] org.flywaydb.core.internal.command.DbInit:43 - Schema initialized with version: 0
INFO   | jvm 1    | 2015/07/28 15:53:07 | 2015-07-28 15:53:07,980  INFO [WrapperSimpleAppMain] org.flywaydb.core.internal.command.DbMigrate:43 - Current version of schema "PUBLIC": 0
INFO   | jvm 1    | 2015/07/28 15:53:07 | 2015-07-28 15:53:07,980  INFO [WrapperSimpleAppMain] org.flywaydb.core.internal.command.DbMigrate:43 - Migrating schema "PUBLIC" to version 0.0.1
INFO   | jvm 1    | 2015/07/28 15:53:08 | 2015-07-28 15:53:08,040  INFO [WrapperSimpleAppMain] org.flywaydb.core.internal.command.DbMigrate:43 - Migrating schema "PUBLIC" to version 0.0.2
INFO   | jvm 1    | 2015/07/28 15:53:08 | 2015-07-28 15:53:08,100  INFO [WrapperSimpleAppMain] org.flywaydb.core.internal.command.DbMigrate:43 - Migrating schema "PUBLIC" to version 0.0.3
INFO   | jvm 1    | 2015/07/28 15:53:08 | 2015-07-28 15:53:08,160  INFO [WrapperSimpleAppMain] org.flywaydb.core.internal.command.DbMigrate:43 - Migrating schema "PUBLIC" to version 0.0.4
INFO   | jvm 1    | 2015/07/28 15:53:08 | 2015-07-28 15:53:08,219  INFO [WrapperSimpleAppMain] org.flywaydb.core.internal.command.DbMigrate:43 - Migrating schema "PUBLIC" to version 0.0.5
INFO   | jvm 1    | 2015/07/28 15:53:08 | 2015-07-28 15:53:08,270  INFO [WrapperSimpleAppMain] org.flywaydb.core.internal.command.DbMigrate:43 - Migrating schema "PUBLIC" to version 0.0.6
INFO   | jvm 1    | 2015/07/28 15:53:08 | 2015-07-28 15:53:08,313  INFO [WrapperSimpleAppMain] org.flywaydb.core.internal.command.DbMigrate:43 - Migrating schema "PUBLIC" to version 0.0.7
INFO   | jvm 1    | 2015/07/28 15:53:08 | 2015-07-28 15:53:08,402  INFO [WrapperSimpleAppMain] org.flywaydb.core.internal.command.DbMigrate:43 - Migrating schema "PUBLIC" to version 0.0.8
INFO   | jvm 1    | 2015/07/28 15:53:08 | 2015-07-28 15:53:08,432  INFO [WrapperSimpleAppMain] org.flywaydb.core.internal.command.DbMigrate:43 - Migrating schema "PUBLIC" to version 0.9.0.1
INFO   | jvm 1    | 2015/07/28 15:53:08 | 2015-07-28 15:53:08,462  INFO [WrapperSimpleAppMain] org.flywaydb.core.internal.command.DbMigrate:43 - Migrating schema "PUBLIC" to version 1.0.1.1
INFO   | jvm 1    | 2015/07/28 15:53:08 | 2015-07-28 15:53:08,482  INFO [WrapperSimpleAppMain] org.flywaydb.core.internal.command.DbMigrate:43 - Successfully applied 10 migrations to schema "PUBLIC" (execution time 00:00.522s).
INFO   | jvm 1    | 2015/07/28 15:53:08 | 2015-07-28 15:53:08,482  INFO [WrapperSimpleAppMain] com.mossle.core.dbmigrate.DatabaseMigrator:64 - migrate : SCHEMA_VERSION_DATA_AUTH, dbmigrate.h2.data_auth
INFO   | jvm 1    | 2015/07/28 15:53:08 | 2015-07-28 15:53:08,492  INFO [WrapperSimpleAppMain] org.flywaydb.core.internal.dbsupport.DbSupportFactory:43 - Database: jdbc:hsqldb:hsql://localhost:9000/lemon (HSQL Database Engine 2.3)
INFO   | jvm 1    | 2015/07/28 15:53:08 | 2015-07-28 15:53:08,512  INFO [WrapperSimpleAppMain] org.flywaydb.core.internal.command.DbValidate:43 - Validated 3 migrations (execution time 00:00.020s)
INFO   | jvm 1    | 2015/07/28 15:53:08 | 2015-07-28 15:53:08,532  INFO [WrapperSimpleAppMain] org.flywaydb.core.internal.metadatatable.MetaDataTableImpl:43 - Creating Metadata table: "PUBLIC"."SCHEMA_VERSION_DATA_AUTH"
INFO   | jvm 1    | 2015/07/28 15:53:08 | 2015-07-28 15:53:08,562  INFO [WrapperSimpleAppMain] org.flywaydb.core.internal.command.DbInit:43 - Schema initialized with version: 0
